Project Name;Systagram
Project Source Path;./systagram/v1-4-0/src/main/java
Number of Units;39
Number of Exceptions;0
Lines of Code;2930.0
Catch Block Lines of Code;13.0
Overall Number of Rules;19
Overall Number of Passing Rules;17
Number of Anti-Drift Rules;16
Number of Anit-Drift Passing Rules;16
Number of Anti-Erosion Rules;3
Number of Anti-Erosion Passing Rules;1
