Project Name;Systagram
Project Source Path;./systagram/v1-4-1/src/main/java
Number of Units;39
Number of Exceptions;0
Lines of Code;3040.0
Catch Block Lines of Code;13.0
Overall Number of Rules;23
Overall Number of Passing Rules;19
Number of Anti-Drift Rules;16
Number of Anit-Drift Passing Rules;16
Number of Anti-Erosion Rules;7
Number of Anti-Erosion Passing Rules;3
